"CLASS","SUBCLASS","MANUF"
"PRG","AVPRG","Lancope"
"PRG","AVPRG","LANDeskSoft"
"PRG","AVPRG","LogLogic"
"PRG","AVPRG","Lumension"
"PRG","AVPRG","Mandiant"
"PRG","AVPRG","MCAFEE"
"PRG","AVPRG","McAfee"
"PRG","AVPRG","Microsoft"
"PRG","AVPRG","NICESys"
"PRG","AVPRG","NIKSUN"
"PRG","AVPRG","Okta"
"PRG","AVPRG","OneLogin"
"PRG","AVPRG","OpenDNS"
"PRG","AVPRG","OpenID"
"PRG","AVPRG","OpenSource"
"PRG","AVPRG","OpenSSL"
"PRG","AVPRG","Oracle"
"PRG","AVPRG","OSSEC"
"PRG","AVPRG","PaloAltoNet"
"PRG","AVPRG","PowerTech"
"PRG","AVPRG","Prolexic"
"PRG","AVPRG","Proofpoint"
"PRG","AVPRG","Qualys"
"PRG","AVPRG","Rapid7"
"PRG","AVPRG","SafeNet"
"PRG","AVPRG","Sailpoint"
"PRG","AVPRG","SAP"
"PRG","AVPRG","SecureAuth"
"PRG","AVPRG","SOPHOS"
"PRG","AVPRG","SourceFire"
"PRG","AVPRG","SYMANTEC"
"PRG","AVPRG","Symantec"
"PRG","AVPRG","TenableNtSc"
"PRG","AVPRG","Thawte"
"PRG","AVPRG","ThreatMetrx"
"PRG","AVPRG","TREND-MICRO"
"PRG","AVPRG","Trend-Micro"
"PRG","AVPRG","Tripwire"
"PRG","AVPRG","TRUSTe"
"PRG","AVPRG","Veracode"
"PRG","AVPRG","Verdasys"
"PRG","AVPRG","WatchGuard"
"PRG","AVPRG","Webroot"
"PRG","AVPRG","Websense"
"PRG","AVPRG","WinMagic"
"PRG","AVPRG","Zscaler"
"PRG","BIPRG","Actuate"
"PRG","BIPRG","Alteryx"
"PRG","BIPRG","Angoss"
"PRG","BIPRG","Attunity"
"PRG","BIPRG","BIRST"
"PRG","BIPRG","Birst"
"PRG","BIPRG","BUS-OBJECTS"
"PRG","BIPRG","CA"
"PRG","BIPRG","Cloud9"
"PRG","BIPRG","COGNOS"
"PRG","BIPRG","Crimson Hex"
"PRG","BIPRG","Domo"
"PRG","BIPRG","Entrinsik"
"PRG","BIPRG","GoodData"
"PRG","BIPRG","HP"
"PRG","BIPRG","HYPERION"
"PRG","BIPRG","IBM"
"PRG","BIPRG","INFO-BUILD"
"PRG","BIPRG","INFORMATICA"
"PRG","BIPRG","Informatica"
"PRG","BIPRG","InsghtSqrd"
"PRG","BIPRG","Izenda"
"PRG","BIPRG","Jaspersoft"
"PRG","BIPRG","LogiAnlytcs"
"PRG","BIPRG","MICROSOFT"
"PRG","BIPRG","Microsoft"
"PRG","BIPRG","MICRO-STRAT"
"PRG","BIPRG","NCR"
"PRG","BIPRG","Noetix"
"PRG","BIPRG","ORACLE"
"PRG","BIPRG","Oracle"
"PRG","BIPRG","OTHER"
"PRG","BIPRG","Pentaho"
"PRG","BIPRG","PROGRESS"
"PRG","BIPRG","ProgressSw"
"PRG","BIPRG","RapidMiner"
"PRG","BIPRG","Roambi"
"PRG","BIPRG","Salesforce"
"PRG","BIPRG","SAP"
"PRG","BIPRG","SAS"
"PRG","BIPRG","SiSense"
"PRG","BIPRG","SnapLogic"
"PRG","BIPRG","StreamBase"
"PRG","BIPRG","Sybase"
"PRG","BIPRG","TableauSoft"
"PRG","BIPRG","Tibco"
"PRG","BIPRG","Verint Sys"
"PRG","BIPRG","WhereScape"
"PRG","BIPRG","Xtraction"
"PRG","BSPRG","Ab Initio"
"PRG","BSPRG","Apriso"
